year,state,state_po,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population
1992,MINNESOTA,MN,"CLINTON, BILL",1020997,"BUSH, GEORGE H.W.",747841,579110,2347948,DEMOCRAT,10,0,10,4471.503
1992,MISSISSIPPI,MS,"CLINTON, BILL",400258,"BUSH, GEORGE H.W.",487793,93742,981793,REPUBLICAN,0,7,7,2610.193
1992,MISSOURI,MO,"CLINTON, BILL",1053873,"BUSH, GEORGE H.W.",811159,526238,2391270,DEMOCRAT,11,0,11,5193.686
1992,MONTANA,MT,"CLINTON, BILL",154507,"BUSH, GEORGE H.W.",144207,111869,410583,DEMOCRAT,3,0,3,822.436
1992,NEBRASKA,NE,"CLINTON, BILL",216864,"BUSH, GEORGE H.W.",343678,177004,737546,REPUBLICAN,0,5,5,1602.406
1992,NEVADA,NV,"CLINTON, BILL",189148,"BUSH, GEORGE H.W.",175828,141342,506318,DEMOCRAT,4,0,4,1330.694
1992,NEW HAMPSHIRE,NH,"CLINTON, BILL",209040,"BUSH, GEORGE H.W.",202484,125691,537215,DEMOCRAT,4,0,4,1112.766
1992,NEW JERSEY,NJ,"CLINTON, BILL",1436206,"BUSH, GEORGE H.W.",1356865,550523,3343594,DEMOCRAT,15,0,15,7827.77
1992,NEW MEXICO,NM,"CLINTON, BILL",261617,"BUSH, GEORGE H.W.",212824,95545,569986,DEMOCRAT,5,0,5,1580.75
1992,NEW YORK,NY,"CLINTON, BILL",3346894,"BUSH, GEORGE H.W.",2041690,1690848,7079432,DEMOCRAT,33,0,33,18082.032
1992,NORTH CAROLINA,NC,"CLINTON, BILL",1114042,"BUSH, GEORGE H.W.",1134661,363147,2611850,REPUBLICAN,0,14,14,6831.85
1992,NORTH DAKOTA,ND,"CLINTON, BILL",99168,"BUSH, GEORGE H.W.",136244,72721,308133,REPUBLICAN,0,3,3,635.427
1992,OHIO,OH,"CLINTON, BILL",1984942,"BUSH, GEORGE H.W.",1894310,1060715,4939967,DEMOCRAT,21,0,21,11007.609
1992,OKLAHOMA,OK,"CLINTON, BILL",473066,"BUSH, GEORGE H.W.",592929,324364,1390359,REPUBLICAN,0,8,8,3204.174
1992,OREGON,OR,"CLINTON, BILL",621314,"BUSH, GEORGE H.W.",475757,365572,1462643,DEMOCRAT,7,0,7,2973.934
1992,PENNSYLVANIA,PA,"CLINTON, BILL",2239164,"BUSH, GEORGE H.W.",1791841,928805,4959810,DEMOCRAT,23,0,23,11980.819
1992,RHODE ISLAND,RI,"CLINTON, BILL",213299,"BUSH, GEORGE H.W.",131601,108465,453365,DEMOCRAT,4,0,4,1000.571
1992,SOUTH CAROLINA,SC,"CLINTON, BILL",525514,"BUSH, GEORGE H.W.",577507,125891,1228912,REPUBLICAN,0,8,8,3600.576
